0,1,2,3
03/20/19 17:48:44.785,-57.3,1008.8,53.1
03/20/19 17:48:44.889,-56.4,1005.5,51.5
03/20/19 17:48:44.992,-59.2,1007.8,50.4
03/20/19 17:48:45.095,-57.8,1009.2,54.4
03/20/19 17:48:45.198,-57.3,1007.2,51.4
03/20/19 17:48:45.301,-58.0,1005.3,51.7
03/20/19 17:48:45.404,-57.3,1008.1,52.0
03/20/19 17:48:45.507,-58.3,1005.5,51.1
03/20/19 17:48:45.610,-59.3,1006.3,50.8
03/20/19 17:48:45.713,-55.4,1008.5,51.7
03/20/19 17:48:45.816,-59.1,1007.2,52.3
03/20/19 17:48:45.920,-60.1,1006.8,51.4
03/20/19 17:48:46.022,-56.4,1008.7,51.3
03/20/19 17:48:46.125,-58.5,1005.8,51.7
03/20/19 17:48:46.229,-57.4,1006.4,52.1
03/20/19 17:48:46.332,-57.8,1007.8,50.7
03/20/19 17:48:46.434,-57.8,1004.6,52.0
03/20/19 17:48:46.537,-58.1,1008.6,50.5
03/20/19 17:48:46.641,-57.2,1008.1,53.1
03/20/19 17:48:46.744,-58.6,1006.0,50.8
03/20/19 17:48:46.846,-57.0,1007.7,50.6
03/20/19 17:48:46.950,-57.2,1006.5,52.5
03/20/19 17:48:47.053,-57.9,1006.3,51.7
03/20/19 17:48:47.156,-57.5,1010.6,50.0
03/20/19 17:48:47.258,-57.1,1005.7,52.3
03/20/19 17:48:47.362,-57.2,1005.5,53.7
03/20/19 17:48:47.465,-58.3,1008.6,51.3
03/20/19 17:48:47.568,-58.6,1004.5,51.9
03/20/19 17:48:47.670,-57.6,1009.2,51.8
03/20/19 17:48:47.774,-57.3,1008.6,53.0
03/20/19 17:48:47.877,-58.3,1007.4,51.8
03/20/19 17:48:47.980,-58.2,1010.8,51.8
03/20/19 17:48:48.083,-56.2,1006.6,53.8
03/20/19 17:48:48.186,-58.1,1007.2,52.0
03/20/19 17:48:48.289,-56.9,1010.3,52.4
03/20/19 17:48:48.392,-56.4,1006.4,51.7
03/20/19 17:48:48.494,-57.9,1007.8,50.7
03/20/19 17:48:48.598,-56.1,1007.8,52.1
03/20/19 17:48:48.701,-55.6,1008.8,51.5
03/20/19 17:48:48.804,-57.5,1007.5,50.8
03/20/19 17:48:48.906,-56.1,1007.9,52.3
03/20/19 17:48:49.010,-55.8,1006.0,52.5
03/20/19 17:48:49.113,-57.1,1007.8,52.0
03/20/19 17:48:49.216,-57.2,1007.1,53.0
03/20/19 17:48:49.318,-56.9,1006.6,50.4
03/20/19 17:48:49.421,-57.3,1007.2,52.3
03/20/19 17:48:49.525,-54.7,1006.3,50.8
03/20/19 17:48:49.628,-56.9,1005.9,52.8
03/20/19 17:48:49.730,-59.6,1006.7,52.3
03/20/19 17:48:49.833,-56.6,1006.8,50.0
03/20/19 17:48:49.937,-59.8,1006.5,51.7
03/20/19 17:48:50.040,-57.1,1009.1,50.6
03/20/19 17:48:50.142,-54.7,1009.7,48.6
03/20/19 17:48:50.245,-61.4,1008.4,52.2
03/20/19 17:48:50.349,-56.3,1009.4,53.3
03/20/19 17:48:50.452,-53.1,1009.4,52.0
03/20/19 17:48:50.554,-57.6,1007.7,52.0
