,Date-Time,Yaw[0](deg),Pitch[0](deg),Roll[0](deg),Yaw[1](deg),Pitch[1](deg),Roll[1](deg)
240,2019-10-22T18:02:44Z, 81.71,-49.23,79.12,0.00,0.60,0.00
241,2019-10-22T18:02:45Z, 81.71,-49.22,79.11,0.00,0.60,0.00
242,2019-10-22T18:02:46Z, 81.71,-49.20,79.11,0.00,0.60,0.00
243,2019-10-22T18:02:47Z, 81.71,-49.22,79.12,0.00,0.60,0.00
244,2019-10-22T18:02:48Z, 81.70,-49.23,79.13,0.00,0.60,0.00
245,2019-10-22T18:02:49Z, 81.72,-49.20,79.10,0.00,0.60,0.00
246,2019-10-22T18:02:50Z, 81.71,-49.21,79.12,0.00,0.60,0.00
247,2019-10-22T18:02:51Z, 81.72,-49.19,79.10,0.00,0.60,0.00
248,2019-10-22T18:02:52Z, 81.69,-49.19,79.12,0.00,0.60,0.00
249,2019-10-22T18:02:52Z, 81.71,-49.20,79.11,0.00,0.60,0.00
250,2019-10-22T18:02:53Z, 81.68,-49.20,79.13,0.00,0.60,0.00
251,2019-10-22T18:02:54Z, 81.67,-49.26,79.15,0.00,0.60,0.00
252,2019-10-22T18:02:56Z, 81.68,-49.23,79.14,0.00,0.60,0.00
253,2019-10-22T18:02:57Z, 81.68,-49.24,79.13,0.00,0.60,0.00
254,2019-10-22T18:02:58Z, 81.71,-49.20,79.09,0.00,0.60,0.00
255,2019-10-22T18:03:00Z, 81.71,-49.19,79.08,0.00,0.60,0.00
256,2019-10-22T18:03:01Z, 81.71,-49.18,79.07,0.00,0.60,0.00
257,2019-10-22T18:03:02Z, 81.72,-49.17,79.07,0.00,0.60,0.00
258,2019-10-22T18:03:03Z, 81.71,-49.19,79.08,0.00,0.60,0.00
259,2019-10-22T18:03:04Z, 81.69,-49.20,79.11,0.00,0.60,0.00
260,2019-10-22T18:03:05Z, 81.69,-49.19,79.10,0.00,0.60,0.00
261,2019-10-22T18:03:06Z, 81.73,-49.16,79.04,0.00,0.60,0.00
262,2019-10-22T18:03:06Z, 81.71,-49.16,79.06,0.00,0.60,0.00
263,2019-10-22T18:03:07Z, 81.69,-49.22,79.09,0.00,0.60,0.00
264,2019-10-22T18:03:09Z, 81.67,-49.22,79.12,0.00,0.60,0.00
265,2019-10-22T18:03:10Z, 81.65,-49.23,79.14,0.00,0.60,0.00
266,2019-10-22T18:03:11Z, 81.66,-49.20,79.11,0.00,0.60,0.00
267,2019-10-22T18:03:12Z, 81.67,-49.18,79.09,0.00,0.60,0.00
268,2019-10-22T18:03:13Z, 81.65,-49.21,79.12,0.00,0.60,0.00
269,2019-10-22T18:03:14Z, 81.63,-49.21,79.13,0.00,0.60,0.00
270,2019-10-22T18:03:15Z, 81.62,-49.23,79.15,0.00,0.60,0.00
271,2019-10-22T18:03:16Z, 81.61,-49.21,79.16,0.00,0.60,0.00
272,2019-10-22T18:03:17Z, 81.59,-49.24,79.18,0.00,0.60,0.00
273,2019-10-22T18:03:18Z, 81.60,-49.21,79.16,0.00,0.60,0.00
274,2019-10-22T18:03:19Z, 81.60,-49.23,79.16,0.00,0.60,0.00
275,2019-10-22T18:03:20Z, 81.60,-49.21,79.15,0.00,0.60,0.00
276,2019-10-22T18:03:21Z, 81.62,-49.19,79.13,0.00,0.60,0.00
277,2019-10-22T18:03:22Z, 81.61,-49.21,79.14,0.00,0.60,0.00
278,2019-10-22T18:03:23Z, 81.61,-49.19,79.14,0.00,0.60,0.00
279,2019-10-22T18:03:24Z, 81.61,-49.19,79.14,0.00,0.60,0.00
280,2019-10-22T18:03:25Z, 81.61,-49.20,79.13,0.00,0.60,0.00
281,2019-10-22T18:03:26Z, 81.59,-49.20,79.16,0.00,0.60,0.00
282,2019-10-22T18:03:27Z, 81.61,-49.16,79.12,0.00,0.60,0.00
283,2019-10-22T18:03:28Z, 81.61,-49.17,79.12,0.00,0.60,0.00
284,2019-10-22T18:03:29Z, 81.60,-49.16,79.12,0.00,0.60,0.00
